"","Label","Synonyms","MeSH Frequency"
"60","Endothelium, Vascular","Endotheliums, Vascular|Vascular Endotheliums|Capillary Endotheliums|Capillary Endothelium|Vascular Endothelium|Endothelium, Capillary|Endotheliums, Capillary",NA
"61","Place Cells","Cells, Place|Hippocampal Place Cell|Cell, Place|Cell, Hippocampal Place|Place Cell, Hippocampal|Place Cell|Hippocampal Place Cells|Place Cells, Hippocampal|Cells, Hippocampal Place",NA
"62","Guideline Adherence","Compliance, Protocol|Adherence, Guideline|Institutional Adherence|Policy Compliance|Adherence, Institutional|Compliance, Policy|Protocol Compliance",NA
"63","doridosine","N(1)-methylisoguanosine|1-methylisoguanosine|Adenosine, N,6-didehydro-1,2,3,6-tetrahydro-1-methyl-2-oxo-",13
"64","Calixarenes","Calixarene|Calix(n)Arenes",NA
"65","Ornithodoros","Relapsing Fever Ticks|Ornithodoro|Tick, Relapsing Fever|Fever Ticks, Relapsing|Relapsing Fever Tick|Fever Tick, Relapsing|Ticks, Relapsing Fever",NA
"66","Nucleotidyltransferases",NA,NA
"67","Students","School Enrollments|School Enrollment|Enrollment, School|Enrollments, School|Student",NA
"68","lead chromate","lead chromate, Pb(2+) (1:1)|lead chromate yellow",59
"69","Viscosupplementation","Viscosupplementations",NA
"70","cycleanine","isocycleanine|8,11:20,23-Dietheno-1H,12H-(1,10)dioxacyclooctadecino(2,3,4-ij:11,12,13-i'j')diisoquinoline, 2,3,12a,13,14,15,24,24a-octahydro-1,13-dimethyl-5,6,17,18-tetramethoxy-, (12aR-(12aR*,24aR*))-",10
"71","lincosamine",NA,4
"72","Fenthion","Phosphorothioic acid, O,O-dimethyl O-(3-methyl-4-(methylthio)phenyl) ester|Baytex|Lebaycid|Mercaptophos",NA
"73","Rosenthal's inhibitor","DDS-acetate|dimethyl-2,3-distearolyoxypropyl-2'-hydroxylethylammonium acetate|(2,3-dihydroxypropyl)(2-hydroxyethyl)dimethylammonium distearate acetate|dimethyl-DL-2,3-distearoyloxypropyl-2'-hydroxyethylammonium acetate|dimethyl DL-2,3-distearoyloxypropyl-2'-hydroxyethylammonium acetate",9
"74","perforin, mouse","lymphocyte pore-forming protein, mouse|cytolysin, mouse|perforin protein, mouse",85
"75","Lepromin",NA,NA
"76","Pesticide Synergists","Synergists, Pesticide",NA
"77","Norwalk virus capsid","capsid protein, Chitta virus|NV capsid",23
"78","Birnaviridae",NA,NA
"79","Meningitis, Fungal","Pachymeningitides, Fungal|Fungal Meningitis|Fungal Pachymeningitis|Fungal Meningitides|Pachymeningitis, Fungal|Fungal Pachymeningitides|Meningitides, Fungal",NA
"80","Knee Injuries","Knee Injury|Injuries, Knee|Injury, Knee",NA
"81","Zygapophyseal Joint","Joints, Facet|Joints, Zygapophysial|Joint, Zygapophyseal|Joint, Zygapophysial|Zygapophysial Joint|Joint, Facet|Zygapophysial Joints|Joints, Zygapophyseal|Zygapophyseal Joints|Facet Joints|Facet Joint",NA
"82","Lens Capsule, Crystalline","Capsules, Crystalline Lens|Lens Capsules, Crystalline|Crystalline Lens Capsules|Crystalline Lens Capsule|Capsule, Crystalline Lens",NA
"83","Femur Head Necrosis","Necrosis, Aseptic, of Femur Head|Avascular Necrosis Of Femoral Head, Primary|Ischemic Necrosis Of Femoral Head|Head Necrosis, Femur|Femoral Head, Avascular Necrosis Of|Femur Head Necroses|Necrosis, Avascular, of Femur Head|Necrosis, Femur Head|Aseptic Necrosis of Femur Head|Avascular Necrosis of Femur Head",NA
"84","phenyldehydroalanine","phenyldehydroalanine, (E)-isomer|2-Propenoic acid, 2-amino-3-phenyl-|phenyldehydroalanine, (Z)-isomer|alpha-aminocinnamate|dehydrophenylalanine|phenyldehydroalanine, sodium salt|2,3-didehydrophenylalanine",47
"85","Genetic Testing","Screening, Genetic|Predictive Testing, Genetic|Testing, Genetic Predisposition|Testing, Genetic Predictive|Testing, Genetic|Genetic Predictive Testing|Genetic Predisposition Testing|Predisposition Testing, Genetic|Genetic Testing, Predictive|Genetic Screenings|Testing, Predictive Genetic|Genetic Screening|Predictive Genetic Testing|Screenings, Genetic",NA
"86","licoricidin",NA,7
"87","richlocaine","1-allyl-2,5-dimethylpiperidol-4-benzoic ester",6
"88","Arylsulfonates","Aryl Sulfonates|Sulfonates, Aryl",NA
"89","Santowhite powder","4,4'-butylidenebis(3-methyl-6-tert-butylphenol)",7
"90","albolabrin","Albolabrin",14
"91","moxonidine","Moxon|Solvay brand of moxonidine|BE 5895|moxonidin|Zint|4-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-6-methoxy-2-methyl-5-pyrimidinamine|Cynt|Physiotens|Lilly brand of moxonidine|Normatens|BE-5895",440
"92","Convalescence","Convalescences",NA
"93","Contraceptive Devices","Devices, Contraceptive|Device, Contraceptive|Contraceptive Device",NA
"94","propionylcarnitine","propionylcarnitine, (R)-isomer|propionylcarnitine, (+-)-isomer|L-propionylcarnitine|propionyl carnitine",327
"95","Candidemia","Candidemias",NA
"96","Heat Stroke","Heat Strokes|Heatstroke|Stroke, Heat|Heatstrokes|Strokes, Heat",NA
"97","dihydroemetine",NA,6
"98","strobilurin F","3,5-Hexadienoic acid, 6-(3-hydroxy-4-((3-methyl-2-butenyl)oxy)phenyl)-2-(methoxymethylene)-3-methyl-, methyl ester, (E,Z,E)-",4
"99","Glyceryl Ethers","Ethers, Glycerol|Ethers, Glyceryl|Ethers, Alkyl Glyceryl|Glyceryl Ethers, Alkyl|Glycerol Ethers|Alkyl Glyceryl Ethers",NA
"100","Paintings","Painting",NA
"101","Tympanocentesis","Tympanocenteses",NA
"102","Dominance-Subordination","Dominance-Subordinations|Dominance Subordination",NA
"103","Hand Transplantation","Transplantation, Hand",NA
"104","pepsin B",NA,8
"105","Tissue Adhesives","Adhesive, Tissue|Adhesives, Tissue|Tissue Adhesive",NA
"106","Poisson Distribution","Distribution, Poisson",NA
"107","Hemolysin Factors","Factors, Hemolysin|Factors, Hly|Hly Factors",NA
"108","epithalamin","epithalamine",82
"109","rhodinose","L-rhodinose",6
"110","Cocaine-Related Disorders","Cocaine-Related Disorder|Abuse, Cocaine|Addiction, Cocaine|Disorders, Cocaine-Related|Dependences, Cocaine|Disorder, Cocaine-Related|Cocaine Dependence|Cocaine Related Disorders|Cocaine Addiction|Dependence, Cocaine|Cocaine Abuse",NA
"111","Autoimmune Diseases","Diseases, Autoimmune|Autoimmune Disease|Disease, Autoimmune",NA
"112","acosamine","6,6,6-trifluoro-L-acosamine|3-amino-2,3,6-trideoxy-L-arabino-hexose",6
"113","Pregnancy in Diabetics","Pregnancy in Diabetic|Pregnancy in Diabetes|Pregnancy in Diabete",NA
"114","hypericin","1,3,4,6,8,13-hexahydroxy-10,11-dimethylphenanthro(1,10,9,8-opqra)perylene-7,14-dione|mono-(123I)iodohypericin",754
"115","diglycerol phosphate","glycerophosphoglycerol",7
"116","Third Ventricle","Ventricles, 3rd|3rd Ventricle|Ventricle, 3rd|3rd Ventricles|Ventricles, Third|Third Ventricles|Ventricle, Third",NA
"117","alpha-ketocaproic acid","2-oxohexanoate|2-ketocaproate|2-oxohexanoic acid|alpha-ketocaproic acid, sodium salt",18
"118","bacillaene",NA,17
"119","endonuclease G","EndoG protein, rat",220
"120","Malaria Vaccines","Vaccines, Malarial|Vaccines, Malaria|Malarial Vaccines",NA
"121","cryptophane A","cryptophane-A",18
"122","Radiation Dosimeters","Radiation Dosimeter|Dosimeters, Radiation|Dosimeter, Radiation|Dosimeters|Dosimeter",NA
"123","Trazodone","Aventis Pharma Brand of Trazodone Hydrochloride|Searle Brand of Trazodone Hydrochloride|Nu Trazodone|Nu-Pharm Brand of Trazodone Hydrochloride|Pharmascience Brand of Trazodone Hydrochloride|Farma Lepori Brand of Trazodone Hydrochloride|Novopharm Brand of Trazodone Hydrochloride|PMS-Trazodone|Aventis Brand of Trazodone Hydrochloride|Apotex Brand of Trazodone Hydrochloride|PMS Trazodone|Trittico|Hexal Brand of Trazodone Hydrochloride|Novo Trazodone|1,2,4-Triazolo(4,3-a)pyridin-3(2H)-one, 2-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-|AF 1161|Nu Pharm Brand of Trazodone Hydrochloride|AF-1161|Ratiopharm Brand of Trazodone Hydrochloride|Boehringer Ingelheim Brand of Trazodone Hydrochloride|Bristol Myers Squibb Brand of Trazodone Hydrochloride|ratio Trazodone|ratio-Trazodone|Apo-Trazodone|Tradozone|Trazodone Hydrochloride|Apothecon Brand of Trazodone Hydrochloride|Desyrel|Trazodon neuraxpharm|neuraxpharm Brand of Trazodone Hydrochloride|AF1161|Apo Trazodone|Trazodon-neuraxpharm|Molipaxin|Thombran|Sidmark Brand of Trazodone Hydrochloride|Deprax|Genpharm Brand of Trazodone Hydrochloride|Trazon|Trazodon Hexal|Bristol-Myers Squibb Brand of Trazodone Hydrochloride|Gen-Trazodone|Gen Trazodone|Novo-Trazodone|Nu-Trazodone",NA
"124","calcium phosphate, monobasic","calcium superphosphate|monocalcium orthophosphate|CaH4O8P2|acid calcium phosphate|calcium bisphosphate",11
"125","Tacrolimus Binding Proteins","FK506 Binding Protein|FKBP Rotamase|Protein, FK-506-Binding|FK 506 Binding Protein|Protein, FK506-Binding|FK-506-Binding Protein|FKBP|Rapamycin-Binding Proteins|FK506 Binding Proteins|FK506-Binding Protein|Rotamase, FKBP|Proteins, Rapamycin-Binding|Binding Proteins, Rapamycin|Rapamycin Binding Proteins",NA
"126","valtrate","Baldrisedon",16
"127","Aminobenzoates","Aminobenzoic Acids|Acids, Aminobenzoic",NA
"128","Foot","Feet",NA
"129","Butyrivibrio",NA,NA
"130","Filamins","Filamin 1-Like Proteins|Filamin C|alpha-Filamins|Filamin 1-Like Protein|280 kDa Actin-Binding Protein|Filamin 1 Like Protein|Filamin|alpha Filamin|Proteins, Filamin 1-Like|Filamin A|Filamin B|280 kDa Actin Binding Protein|alpha-Filamin|Filamin 1|1-Like Proteins, Filamin|beta-Filamin|Merofilamin|beta-Filamins|Filamin Cs|1-Like Protein, Filamin|Merofilamins|Protein, Filamin 1-Like|Cs, Filamin|beta Filamin",NA
"131","Daunorubicin","Daunomycin|Daunorubicin Hydrochloride|Dauno-Rubidomycine|5,12-Naphthacenedione, 8-acetyl-10-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-, (8S-cis)-|NSC82151|Cerubidine|Rubomycin|NSC 82151|Daunoblastin|Daunoblastine|NSC-82151|Rubidomycin|Dauno Rubidomycine|Hydrochloride, Daunorubicin",NA
"132","Atrial Myosins","Myosin, Atrial|Atrial Myosin|Myosins, Atrial",NA
"133","Bibenzyls",NA,NA
"134","Rho Factor","E Coli Transcription Termination Factor|Factor, Rho",NA
"135","ebelactone B","2-ethyl-3,11-dihydroxy-4,6,8,10,12-pentamethyl-9-oxo-tetradecenoic 1,3-lactone|2-Oxetanone, 3-ethyl-4-(8-hydroxy-1,3,5,7,9-pentamethyl-6-oxo-3-undecenyl)-, (3S-(3alpha,4beta(1R*,3E,5S*,7R*,8S*,9S*)))-",24
"136","eudesmane","decahydro-1,4a-dimethyl-7(methylethyl)-naphthalene",60
"137","Ego","Egos|Self",NA
"138","Infant Health","Health, Newborn|Health, Baby|Newborn Infant Health|Health of the Newborn Infant|Health, Neonatal|Infant Health, Newborn|Neonatal Health|Newborn Health|Health, Infant|Health of Newborn Infants|Health, Newborn Infant|Baby Health",NA
"139","Arthropod Proteins","Horseshoe Crab Proteins|Crustacean Proteins|Arachnid Proteins|Tick Proteins|Spider Proteins",NA
"140","coconut diethanolamide","Amides, coco, N,N-bis(hydroxyethyl)|cocoamide DEA",8
"141","aposome","caspase-activating complex",7
"142","Lysholm Knee Score","Activity Score, Tegner|Tegner Activity Score|Tegner Activity Level|Lysholm Knee Scoring Scale|Lysholm Knee Scale|Tegner Activity Scale",NA
"143","plantaricin A","Plantaricin A",20
"144","Neorickettsia risticii","Ehrlichia risticii",NA
"145","Hip","Hips|Coxas|Coxa",NA
"146","recognins",NA,10
"147","Societies, Scientific","Scientific Society|Society, Scientific|American Psychological Association|Scientific Societies",NA
"148","Huntington Disease","Akinetic-Rigid Variant of Huntington Disease|Progressive Chorea, Hereditary, Chronic (Huntington)|Late Onset Huntington Disease|Huntington Disease, Late Onset|Huntington's Chorea|Juvenile-Onset Huntington Disease|Chorea, Huntington|Huntington Disease, Akinetic-Rigid Variant|Progressive Chorea, Chronic Hereditary (Huntington)|Huntington Disease, Late-Onset|Huntington Disease, Juvenile|Juvenile Onset Huntington Disease|Juvenile Huntington Disease|Huntington Disease, Akinetic Rigid Variant|Late-Onset Huntington Disease|Huntington Disease, Juvenile Onset|Chorea, Chronic Progressive Hereditary (Huntington)|Huntington Disease, Juvenile-Onset|Chorea, Huntington's|Huntington Chronic Progressive Hereditary Chorea|Akinetic Rigid Variant of Huntington Disease|Huntington Chorea|Huntington's Disease|Chronic Progressive Hereditary Chorea (Huntington)",NA
"149","Enema","Enemata|Enemas|Enematas",NA
"150","Ionic Liquids","Liquids, Ionic",NA
"151","DNA, Bacterial","Bacterial DNA",NA
"152","Cannabinoids",NA,NA
"153","Acetoacetates",NA,NA
"154","triletide","N-Ac-Phe-Phe-His-Me|L-Histidine, N-(N-(N-acetyl-L-phenylalanyl)-L-phenylalanyl)-, methyl ester|ZAMI-420|N-acetylphenylalanyl-phenylalanyl-histidine methyl ester|ZAMI 420",11
"155","Campylobacter lari",NA,NA
"156","Brassinosteroids",NA,NA
"157","guar gum","Supercol GF|slocose|guar flour|Cal-Ban 3000|Glucotard|guaran|gum guar|GU-052",879
"158","Asimina","Pawpaw|Asiminas|Pawpaws",NA
"159","Euphorbiaceae","Sebastiania|Macaranga|Alchorneas|Alchornea|Securinega|Sebastianias|Excoecarias|Maprouneas|Macarangas|Excoecaria|Maprounea|Spondianthus|Securinegas",NA
"160","sacran",NA,5
"161","BtuD peptide, E coli",NA,32
"162","Esophagoscopes","Esophagoscope",NA
"163","Renal Replacement Therapy","Kidney Replacement Therapy|Therapies, Renal Replacement|Therapy, Renal Replacement|Renal Replacement Therapies|Replacement Therapy, Renal|Therapy, Kidney Replacement|Kidney Replacement Therapies|Replacement Therapies, Renal|Therapies, Kidney Replacement|Replacement Therapy, Kidney|Replacement Therapies, Kidney",NA
"164","White Heifer Disease","Disease, White Heifer",NA
"165","Cancer Care Facilities","Cancer Hospital|Hospitals, Cancer|Facility, Cancer Care|Hospital, Cancer|Cancer Hospitals|Cancer Care Facility|Facilities, Cancer Care",NA
"166","Scalp","Scalps",NA
"167","dendrotoxin receptor","receptor, dendrotoxin|dendrotoxin receptors",19
"168","Nutrizym",NA,10
"169","Adipocytes","Fat Cells|Lipocytes|Lipocyte|Cells, Fat|Fat Cell|Cell, Fat|Adipocyte",NA
"170","phenoxarsine oxide","10,10'-oxybisphenoxarsine oxide",4
"171","kartogenin",NA,8
"172","Eye Diseases, Hereditary","Disease, Hereditary Eye|Eye Disease, Hereditary|Hereditary Eye Diseases|Hereditary Eye Disease|Diseases, Hereditary Eye",NA
"173","insulin, desoctapeptide-","desoctapeptide insulin|desoctapeptide (B23-30) insulin|insulin (ox), 8(A)-L-threonine-10(A)-L-isoleucine-23(B)-deglycine-24(B)-de-L-phenylalanine-25(B)-de-L-phenylalanine-26(B)-de-L-tyrosine-27(B)-de-L-threonine-28(B)-de-L-proline-29(B)-de-L-lysine-30(B)-de-L-alanine-",20
"174","hydroxyapatite-polylactide","HAp-PLLA|hydroxyapatite-poly-L-lactide",35
"175","sialokinin I","Physalemin, 1-de(5-oxo-L-proline)-2-L-asparagine-3-L-threonine-4-glycine-5-L-aspartic acid-|Asn-Thr-Gly-Asp-Lys-Phe-Tyr-Gly-Leu-Met-NH2",4
"176","Contraceptives, Oral","Oral Contraceptives, Low Dose|Phasic Oral Contraceptives|Contraceptives, Phasic Oral|Oral Contraceptives|Contraceptives, Low-Dose Oral|Oral Contraceptives, Phasic|Low-Dose Oral Contraceptives|Oral Contraceptives, Low-Dose",NA
"177","ammodytoxin B","Phospholipase A2 (Vipera ammodytes ammodytes venom ammodytoxin B reduced)",8
"178","vinylferrocene",NA,4
"179","thiobarbituric acid","thiobarbiturate|2-thiobarbituric acid|thiobarbituric acid, monosodium salt|2-mercaptobarbituric acid",966
"180","Pyrimidine Dimers","Thymine-Cyclobutane Dimer|Dimers, Cytosine-Thymine|Thymine Dimers|Thymine-Thymine Cyclobutane Dimer|Thymine Thymine Cyclobutane Dimer|Cyclobutane Dimer, Thymine-Thymine|Dimers, Pyrimidine|Dimer, Thymine-Thymine Cyclobutane|Dimers, Thymine|Dimer, Thymine-Cyclobutane|Cyclobutane Pyrimidine Dimers|Cytosine Thymine Dimers|Cyclobutane-Pyrimidine Dimers|Cytosine-Thymine Dimers|Dimers, Cyclobutane-Pyrimidine|Thymine Cyclobutane Dimer",NA
"181","triacetic acid lactone",NA,14
"182","peptide E (adrenal medulla)","peptide E|opioid peptide E|peptide E proenkephalin|proenkephalin peptide E",26
"183","myohemerythrin",NA,60
"184","Formularies, Hospital","Hospital Formularies|Hospital Formulary|Formulary, Hospital",NA
"185","Thermoreceptors","Thermoreceptor",NA
"186","alifedrine","D-13625|1-Propanone, 1-cyclohexyl-3-((2-hydroxy-1-methyl-2-phenylethyl)amino)-, (R-(R*,S*))-|D 13625",8
"187","cloxazolam","CS 370|Olcadil|10-chloro-2,3,5,6,7,11b-hexahydro-11b-(o- chlorophenyl)benzo(6,7)-1,4-diazepino-(5,4-b)-oxazol-6-one|10-chloro-11b-(2-chlorophenyl)-2,3,5,6,7,11b-hexahydrobenzo(6,7)-1,4-diazepino(5,4-b)oxazol-6-one|MT 14-411|10-chloro-11b-(2-chlorophenyl)-2,3,7,11b(5H)-tetrahydro-oxazolo(3,2-d)(1,4)benzodiazepine-6-one|former CAS registry number of cloxazolam",18
"188","Paraguay",NA,NA
"189","Fibrocartilage",NA,NA
"190","Visible Human Projects","United States Visible Human Project|Chinese Visible Human Project|American Visible Human Project|Visible Korean Human Project|Visible Chinese Human Project|Korean Visible Human Project",NA
"191","Cell Surface Extensions","Membrane Projections, Cell|Membrane Extensions, Cell|Cell Membrane Projection|Surface Extension, Cell|Extensions, Cell Membrane|Membrane Projection, Cell|Cell Membrane Extensions|Cell Surface Protrusions|Projection, Cell Surface|Cell Surface Projections|Cell Surface Extension|Surface Protrusions, Cell|Extension, Cell Membrane|Cell Surface Projection|Protrusions, Cell Membrane|Protrusions, Cellular|Surface Extensions, Cell|Projections, Cell Membrane|Membrane Extension, Cell|Protrusions, Cell Surface|Cell Membrane Projections|Projections, Cell Surface|Cellular Protrusion|Extensions, Cell Surface|Surface Protrusion, Cell|Protrusion, Cell Membrane|Cell Membrane Extension|Membrane Protrusions, Cell|Protrusion, Cell Surface|Extension, Cell Surface|Surface Projections, Cell|Cell Membrane Protrusion|Membrane Protrusion, Cell|Cellular Protrusions|Surface Projection, Cell|Cell Membrane Protrusions|Cell Surface Protrusion|Protrusion, Cellular|Projection, Cell Membrane",NA
"192","Aequorin","Aequorine|Aequorins",NA
"193","silica hydride",NA,43
"194","Afibrinogenemia","Afibrinogenaemias, Congenital|Familial Afibrinogenemia|Afibrinogenemias|Afibrinogenemia, Familial|Congenital Afibrinogenemias|Congenital Afibrinogenemia|Fibrinogen Deficiency|Fibrinogen Deficiencies|Congenital Afibrinogenaemias|Familial Afibrinogenemias|Hypofibrinogenemias, Congenital|Hypofibrinogenemia, Congenital|Afibrinogenemias, Familial|Congenital Hypofibrinogenemias|Afibrinogenemias, Congenital|Congenital Afibrinogenaemia|Congenital Hypofibrinogenemia|Afibrinogenaemia, Congenital|Afibrinogenemia, Congenital|Deficiency, Fibrinogen",NA
"195","azilsartan","TAK-536|2-ethoxy-1-((2'-(5-oxo-2,5-dihydro-1,2,4-oxadiazol-3-yl)-biphenyl-4-yl)methyl)-1H-benzimidazole-7-carboxylic acid",51
"196","Vena Cava, Inferior","Inferior Vena Cavas|Vena Cavas, Inferior|Inferior Vena Cava",NA
"197","Omega Dental Ceramic",NA,9
"198","Blood Pressure","Pressures, Systolic|Pressure, Systolic|Pulse Pressure|Pressure, Blood|Systolic Pressure|Pressure, Diastolic|Diastolic Pressure|Pressure, Pulse",NA
